ATS,Building_C,Location_C,Name,Geographic,Latitude,Longitude,latitude,longitude
01M015,M015,M015,P.S. 015 Roberto Clemente,1,40.722075,-73.978747,4971433.816200003,-8235276.445599999
01M020,M020,M020,P.S. 020 Anna Silver,1,40.721305,-73.986312,4971320.717600003,-8236118.577500001
01M034,M034,M034,P.S. 034 Franklin D. Roosevelt,1,40.726008,-73.975058,4972011.520800002,-8234865.788000001
01M063,M063,M063,The STAR Academy - P.S.63,1,40.72444,-73.986214,4971781.198600002,-8236107.668199999
01M064,M064,M064,P.S. 064 Robert Simon,1,40.72313,-73.981597,4971588.778099999,-8235593.7061
01M110,M110,M110,P.S. 110 Florence Nightingale,1,40.7162,-73.9798,4970570.921599999,-8235393.664999999
01M134,M134,M134,P.S. 134 Henrietta Szold,1,40.714248,-73.983854,4970284.237199999,-8235844.9542
01M140,M140,M140,P.S. 140 Nathan Straus,1,40.719148,-73.983769,4971003.901600003,-8235835.492000001
01M142,M142,M142,P.S. 142 Amalia Castro,1,40.718121,-73.984116,4970853.061399996,-8235874.119899999
01M184,M137,M184,P.S. 184m Shuang Wen,1,40.711125,-73.985438,4969825.5889,-8236021.2842999995
01M188,M188,M188,P.S. 188 The Island School,1,40.719888,-73.97738,4971112.5901999995,-8235124.2718
01M292,M056,M292,Orchard Collegiate Academy,1,40.713362,-73.986051,4970154.115800001,-8236089.5231
01M315,M019,M315,The East Village Community School,1,40.730009,-73.984496,4972599.248599999,-8235916.4213
01M332,M056,M332,University Neighborhood Middle School,1,40.713362,-73.986051,4970154.115800001,-8236089.5231
01M361,M061,M361,The Children's Workshop School,1,40.727537,-73.978254,4972236.119400002,-8235221.565099999
01M363,M063,M363,Neighborhood School,1,40.72444,-73.986214,4971781.198600002,-8236107.668199999
01M364,M064,M364,Earth School,1,40.72313,-73.981597,4971588.778099999,-8235593.7061
01M378,M025,M378,School for Global Leaders,1,40.72004,-73.986038,4971134.915600002,-8236088.075999999
01M448,M446,M448,University Neighborhood High School,1,40.712269,-73.984128,4969993.595899999,-8235875.455700001
01M450,M060,M450,East Side Community School,1,40.729152,-73.982472,4972473.356399998,-8235691.1107
01M458,M510,M458,Forsyth Satellite Academy,1,40.722415,-73.990468,4971483.756200001,-8236581.2213
01M515,M025,M515,Lower East Side Preparatory High School,1,40.72004,-73.986038,4971134.915600002,-8236088.075999999
01M539,M022,M539,"New Explorations into Science, Technology and Math",1,40.719416,-73.979581,4971043.264300004,-8235369.286
01M650,M510,M650,Cascades High School,1,40.722415,-73.990468,4971483.756200001,-8236581.2213
01M696,M097,M696,Bard High School Early College,1,40.718276,-73.976093,4970875.826800004,-8234981.0035999995
01M839,M064,M839,Tompkins Square Middle School,1,40.72313,-73.981597,4971588.778099999,-8235593.7061
